time,S,    I    ,    R    ,i rate per Timestep
0,4000,0,0,0
0.02,3995,5,0,0
0.04,3995,5,0,0
0.06,3995,5,0,0
0.08,3995,5,0,0
0.1,3995,5,0,0
0.12,3995,5,0,0
0.14,3995,5,0,0
0.16,3995,5,0,0
0.18,3995,5,0,0
0.2,3995,5,0,0
0.22,3995,5,0,0
0.24,3995,5,0,1
0.26,3994,6,0,1
0.28,3993,7,0,0
0.3,3993,7,0,1
0.32,3992,8,0,0
0.34,3992,8,0,0
0.36,3992,8,0,0
0.38,3992,8,0,0
0.4,3992,8,0,0
0.42,3992,8,0,0
0.44,3992,8,0,0
0.46,3992,8,0,0
0.48,3992,8,0,0
0.5,3992,8,0,0
0.52,3992,8,0,0
0.54,3992,8,0,0
0.56,3992,8,0,0
0.58,3992,8,0,0
0.6,3992,8,0,0
0.62,3992,8,0,0
0.64,3992,8,0,1
0.66,3991,9,0,0
0.68,3991,9,0,0
0.7,3991,9,0,0
0.72,3991,9,0,0
0.74,3991,9,0,0
0.76,3991,9,0,0
0.78,3991,9,0,0
0.8,3991,9,0,0
0.82,3991,9,0,0
0.84,3991,9,0,1
0.86,3990,10,0,0
0.88,3990,10,0,0
0.9,3990,10,0,0
0.92,3990,10,0,0
0.94,3990,10,0,0
0.96,3990,10,0,0
0.98,3990,10,0,0
1,3990,10,0,0
1.02,3990,10,0,0
1.04,3990,10,0,0
1.06,3990,10,0,0
1.08,3990,10,0,0
1.1,3990,10,0,0
1.12,3990,10,0,0
1.14,3990,10,0,0
1.16,3990,10,0,0
1.18,3990,10,0,0
1.2,3990,10,0,1
1.22,3989,11,0,0
1.24,3989,11,0,0
1.26,3989,11,0,0
1.28,3989,11,0,0
1.3,3989,11,0,0
1.32,3989,11,0,0
1.34,3989,11,0,0
1.36,3989,11,0,0
1.38,3989,11,0,0
1.4,3989,11,0,0
1.42,3989,11,0,0
1.44,3989,11,0,0
1.46,3989,11,0,0
1.48,3989,11,0,0
1.5,3989,11,0,0
1.52,3989,11,0,0
1.54,3989,11,0,0
1.56,3989,11,0,0
1.58,3989,11,0,0
1.6,3989,11,0,1
1.62,3988,12,0,0
1.64,3988,12,0,0
1.66,3988,12,0,0
1.68,3988,12,0,0
1.7,3988,12,0,0
1.72,3988,12,0,0
1.74,3988,12,0,0
1.76,3988,12,0,0
1.78,3988,12,0,0
1.8,3988,12,0,0
1.82,3988,12,0,0
1.84,3988,12,0,0
1.86,3988,12,0,0
1.88,3988,12,0,0
1.9,3988,12,0,0
1.92,3988,12,0,0
1.94,3988,12,0,0
1.96,3988,12,0,0
1.98,3988,12,0,0
2,3988,12,0,0
2.02,3988,12,0,0
2.04,3988,12,0,0
2.06,3988,12,0,0
2.08,3988,12,0,0
2.1,3988,12,0,0
2.12,3988,12,0,0
2.14,3988,12,0,0
2.16,3988,12,0,0
2.18,3988,12,0,1
2.2,3987,13,0,0
2.22,3987,13,0,0
2.24,3987,13,0,1
2.26,3986,14,0,0
2.28,3986,14,0,0
2.3,3986,14,0,0
2.32,3986,14,0,0
2.34,3986,14,0,0
2.36,3986,14,0,1
2.38,3985,15,0,0
2.4,3985,15,0,0
2.42,3985,15,0,0
2.44,3985,15,0,0
2.46,3985,15,0,0
2.48,3985,15,0,0
2.5,3985,15,0,0
2.52,3985,15,0,0
2.54,3985,15,0,0
2.56,3985,15,0,0
2.58,3985,15,0,0
2.6,3985,15,0,0
2.62,3985,15,0,0
2.64,3985,15,0,0
2.66,3985,15,0,0
2.68,3985,15,0,0
2.7,3985,15,0,0
2.72,3985,15,0,0
2.74,3985,15,0,0
2.76,3985,15,0,0
2.78,3985,15,0,0
2.8,3985,15,0,0
2.82,3985,15,0,0
2.84,3985,15,0,0
2.86,3985,15,0,0
2.88,3985,15,0,1
2.9,3984,16,0,0
2.92,3984,16,0,0
2.94,3984,16,0,0
2.96,3984,16,0,0
2.98,3984,16,0,1
3,3983,17,0,0
3.02,3983,17,0,0
3.04,3983,17,0,0
3.06,3983,17,0,0
3.08,3983,17,0,0
3.1,3983,17,0,0
3.12,3983,17,0,0
3.14,3983,17,0,0
3.16,3983,17,0,1
3.18,3982,18,0,0
3.2,3982,18,0,0
3.22,3982,18,0,0
3.24,3982,18,0,0
3.26,3982,18,0,0
3.28,3982,18,0,0
3.3,3982,18,0,1
3.32,3981,19,0,0
3.34,3981,19,0,0
3.36,3981,19,0,0
3.38,3981,19,0,0
3.4,3981,19,0,0
3.42,3981,19,0,0
3.44,3981,19,0,0
3.46,3981,19,0,0
3.48,3981,19,0,0
3.5,3981,19,0,0
3.52,3981,19,0,0
3.54,3981,19,0,0
3.56,3981,19,0,0
3.58,3981,19,0,0
3.6,3981,19,0,0
3.62,3981,19,0,0
3.64,3981,19,0,0
3.66,3981,19,0,0
3.68,3981,19,0,1
3.7,3980,20,0,0
3.72,3980,20,0,0
3.74,3980,20,0,0
3.76,3980,20,0,0
3.78,3980,20,0,0
3.8,3980,20,0,0
3.82,3980,20,0,0
3.84,3980,20,0,0
3.86,3980,20,0,0
3.88,3980,20,0,0
3.9,3980,20,0,1
3.92,3979,21,0,0
3.94,3979,21,0,0
3.96,3979,21,0,0
3.98,3979,21,0,0
4,3979,21,0,0
4.02,3979,21,0,0
